Scholarship_ID,Scholarship_Name,Amount,State,Category,Batch,Eligibility_Caste,Eligibility_Gender,Min_Percentage_Required,Course_Applicable,Application_Start_Date,Application_Deadline,Contact_Email
SCH636060,Private Merit-based Scholarship for Arts,42098,Delhi,Merit-based,2023,All,Male,87,Science,2025-03-21,2025-04-28,contact@delhischolarships.gov.in
SCH488529,National Merit-based Scholarship for Medical,40495,Assam,Merit-based,2023,All,Male,95,Any,2025-04-08,2025-06-15,contact@assamscholarships.gov.in
SCH308672,State Need-based Scholarship for Commerce,46463,Telangana,Need-based,2023,OBC,All,77,Arts,2025-04-27,2025-07-21,contact@telanganascholarships.gov.in
SCH104216,National Need-based Scholarship for Arts,23396,Kerala,Need-based,2023,SC,Female,88,Arts,2025-03-12,2025-05-05,contact@keralascholarships.gov.in
SCH81272,State Women-specific Scholarship for Commerce,13180,Assam,Women-specific,2023,All,Female,90,Commerce,2025-05-05,2025-06-28,contact@assamscholarships.gov.in
SCH304788,National Sports Scholarship for Any,9558,Rajasthan,Sports,2024,SC,Male,64,Engineering,2025-03-09,2025-05-20,contact@rajasthanscholarships.gov.in
SCH832350,State Minority Scholarship for Any,28909,Tamil Nadu,Minority,2025,OBC,All,67,Any,2025-03-17,2025-05-09,contact@tamilnaduscholarships.gov.in
SCH349613,Private Sports Scholarship for Medical,40005,Bihar,Sports,2024,ST,Female,67,Any,2025-04-22,2025-06-06,contact@biharscholarships.gov.in
SCH718088,State Women-specific Scholarship for Engineering,20010,Karnataka,Women-specific,2025,ST,Female,54,Medical,2025-04-28,2025-05-30,contact@karnatakascholarships.gov.in
SCH261144,Private Need-based Scholarship for Science,61856,Punjab,Need-based,2026,OBC,Female,58,Medical,2025-05-02,2025-07-29,contact@punjabscholarships.gov.in
SCH94204,Private Women-specific Scholarship for Science,43242,Kerala,Women-specific,2024,OBC,All,81,Engineering,2025-04-01,2025-05-24,contact@keralascholarships.gov.in
SCH758763,National Merit-based Scholarship for Any,30969,Assam,Merit-based,2026,All,Male,74,Science,2025-04-26,2025-07-08,contact@assamscholarships.gov.in
SCH879233,State Sports Scholarship for Commerce,5752,Uttar Pradesh,Sports,2023,All,Female,91,Arts,2025-04-19,2025-07-04,contact@uttarpradeshscholarships.gov.in
SCH562082,State Minority Scholarship for Medical,34735,Delhi,Minority,2025,All,Male,82,Engineering,2025-03-07,2025-05-22,contact@delhischolarships.gov.in
SCH847040,Private Women-specific Scholarship for Commerce,18035,Maharashtra,Women-specific,2024,All,All,50,Commerce,2025-03-16,2025-05-08,contact@maharashtrascholarships.gov.in
SCH544554,National Research Scholarship for Engineering,240306,Punjab,Research,2025,OBC,Male,65,Commerce,2025-05-02,2025-07-24,contact@punjabscholarships.gov.in
SCH452538,Private Merit-based Scholarship for Science,19071,Bihar,Merit-based,2024,OBC,All,80,Commerce,2025-04-24,2025-06-27,contact@biharscholarships.gov.in
SCH408361,Private Minority Scholarship for Commerce,32730,Haryana,Minority,2024,SC,Female,92,Any,2025-03-20,2025-06-17,contact@haryanascholarships.gov.in
SCH330641,Private Research Scholarship for Science,113441,Rajasthan,Research,2023,SC,Male,87,Commerce,2025-03-22,2025-05-05,contact@rajasthanscholarships.gov.in
SCH994695,National Sports Scholarship for Engineering,9652,Karnataka,Sports,2023,OBC,Male,52,Arts,2025-04-21,2025-06-30,contact@karnatakascholarships.gov.in
SCH364282,National Sports Scholarship for Arts,48842,Bihar,Sports,2024,All,All,80,Medical,2025-04-07,2025-05-20,contact@biharscholarships.gov.in
